 Processo ; Contramarca ; Navio ; IMO ; ATD ; ATA ; Bandeira ; Tipo Navio ; Agente Navegacao ; Porto Seguinte ; Porto Procedente ; Motivo Escala ; Local Atribuido ; Morada Agente ; Telefone Agente ; Email Agente ; Indicativo Chamada ; GT ; TAL ; Comprimento ; Calado Maximo ; Porto Registo ; Armador ; Nome Anterior ; Tipo ; TAB ; DWT ; Boca Sinal ; Velocidade Maxima ; Tipo Trafego ; Certificado Verde ; Data Construcao ; Capacidade Teus 
 LIS201502649 ;" """"04012015002653"""" "; BOUDICCA ;7218395; 2016-01-01 03:05 ; 2015-12-31 10:03 ; Bahamas, Ilhas ; CRUZEIROS ; WILHELMSEN SHIPS SERVICE PORTUGAL, S.A. ; TILBURY ; LAS PALMAS DE GRAND CANARIA ; 33 - TURISMO ; 245 - TERMINAL DE CRUZEIROS DE LISBOA ; R.FRADESSO DA SILVEIRA, 2 - 2ºA ; 213 210 900 ; wss.lisbon@wilhelmsen.com ; C6V43 ;28372;0; 205.47 ; 7.5 ; BSNAS ; FRED OLSEN ;;361;13956;5291; 25.2 ;19;1; CS ; Mon Jan 01 00:00:00 GMT 1973 ;0
 LIS201502690 ;" """"04012015002694"""" "; ANNEMIEKE ;9147681; 2016-01-01 08:08 ; 2015-12-28 08:55 ; Antigua e Barbuda ; Misto - Carga geral / Contentores ; MARTRANS-NAVEG.COM. E TRANSP., LDA ; ARZEW ; ANTWERPEN ; 13 - CARGA ; 100 - CAIS AV. DE ALCANTARA/TERMINAL PASSAGEIROS ; R. DA EMENDA, 58-R/C ;3,51E+11; martrans.lisboa@martrans.pt ; V2EM ;8388;0; 151.67 ; 7.2 ; AGSJO ; SAL HEAVY LIFT GMBH ;;339;4178;9544; 20.4 ;20;1; CA ; 1998-04-01 00:00:00.0 ;830
 LIS201502662 ;" """"04012015002666"""" "; LEVANT HORIZON ;9126467; 2016-01-01 18:08 ; 2015-12-24 07:31 ; Panama ; Misto - Carga geral / Contentores ; VIA OCEANO AGENTES DE NAVEGAÇÃO LDA ; PONTA DELGADA ; LEIXOES ; 14 - CARGA/DESCARGA ; 300 - CAIS DO POÇO DO BISPO / TMPB ; LARGO VARADOUROS N.º 4, 3º ; 220126242/3/4 ; lsousa@gruposousa.pt ; 3FML3 ;5712;0; 122.55 ;6; PAPTY ; LEVANT MARINE GROUP SA ;;339;2649;6917;19;0;1; ISP ; Mon Jan 01 00:00:00 GMT 1996 ;0
 LIS201502647 ;" """"04012015002651"""" "; INSULAR ;9150420; 2016-01-02 17:00 ; 2015-12-24 13:39 ; Portugal ; Porta-contentores ; VIA OCEANO AGENTES DE NAVEGAÇÃO LDA ; CANIÇAL ; PORTO SANTO ; 14 - CARGA/DESCARGA ; 264 - TERMINAL MULTIPURPOSE DE LISBOA ; LARGO VARADOUROS N.º 4, 3º ; 220126242/3/4 ; lsousa@gruposousa.pt ; CSDD ;5599;0; 119.8 ;6; PTM6E ; GS Lines – Transportes Marítimos LDA ;;310;2679;6700;20;0;4; CS ; Thu Jan 01 00:00:00 GMT 1998 ;0
 LIS201502712 ;" """"04012015002716"""" "; HELEN BOLTEN ;9427380; 2016-01-02 18:53 ; 2016-01-01 21:52 ; Gibraltar ; Graneleiro ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; CORPUS CHRISTI, TX ; GIJON ; 1 - ABASTECIMENTO DE COMBUSTIVEL ; 805_FUNDEADOURO QUADRO CENTRAL ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; ZDNS9 ;15861;0; 157.23 ; 7.5 ; GIGIB ; MS HELEN BOLTEN SCHIFFARTSGESELLSCHAFT MBH & CO KG ;;202;0;25240; 26.8 ;0;1; C69 ; undefined ;0
 LIS201502709 ;" """"04012015002713"""" "; MAGELLAN ;8217881; 2016-01-02 20:22 ; 2016-01-02 09:00 ; Bahamas, Ilhas ; CRUZEIROS ; JAMES RAWES NAVEGACAO LDA ; TILBURY ; FUNCHAL ; 33 - TURISMO ; 245 - TERMINAL DE CRUZEIROS DE LISBOA ; Av. 24 de Julho, 126 1º Esq ;213470231; operations@jamesrawes.pt ; C6BR5 ;46052;0; 221.57 ;8; BSNAS ; CRUISE MARITIME VOYAGES ;;361;0;7186; 28.01 ;0;1; CS ; Sat Jun 01 00:00:00 GMT 1985 ;0
 LIS201502646 ;" """"04012015002650"""" "; QUEEN ELIZABETH ;9477438; 2016-01-03 18:43 ; 2016-01-03 07:48 ; Bermudas ; CRUZEIROS ; JAMES RAWES NAVEGACAO LDA ; SOUTHAMPTON ; CADIZ ; 33 - TURISMO ; 245 - TERMINAL DE CRUZEIROS DE LISBOA ; Av. 24 de Julho, 126 1º Esq ;213470231; operations@jamesrawes.pt ; ZCEF2 ;90901;0;294;8; BMBDA ; CUNARD LINE ;;361;50157;7685; 32.3 ;0;1; CA ; Fri Oct 01 00:00:00 GMT 2010 ;0
 LIS201502714 ;" """"04012015002718"""" "; BOREALIS ;9122552; 2016-01-03 19:56 ; 2016-01-03 08:00 ; Holanda ; CRUZEIROS ; JAMES RAWES NAVEGACAO LDA ; ROTTERDAM ; CADIZ ; 33 - TURISMO ; 245 - TERMINAL DE CRUZEIROS DE LISBOA ; Av. 24 de Julho, 126 1º Esq ;213470231; operations@jamesrawes.pt ; PDGS ;61849;0; 237.95 ;8; NLRTM ; HOLLAND AMERICA LINE (CARNIVAL) ;;361;29017;6354; 32.29 ; 22.5 ;1; CA ; Mon Jan 01 00:00:00 GMT 1996 ;0
 LIS201502682 ;" """"04012015002686"""" "; MARIA DA PAZ ;9150432; 2016-01-03 21:46 ; 2015-12-25 09:56 ; Antigua e Barbuda ; Porta-contentores ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; PONTA DELGADA ; CANIÇAL ; 14 - CARGA/DESCARGA ; 264 - TERMINAL MULTIPURPOSE DE LISBOA ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; CSAJ ;3978;0; 100.6 ;6; AGSJO ;" MS "" MARIA DA PAZ "" SCHIFFFAHRTS GMBH & CO. KG ";;310;0;4969; 16.5 ;0;1; CS ; Wed Dec 01 00:00:00 GMT 1999 ;0
 LIS201502724 ;" """"04012015002728"""" "; BAHIA TRES ;9428671; 2016-01-04 08:54 ; 2016-01-03 08:31 ; Espanha ; Tanque Petroleiro ; NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA ; SINES ; SINES ; 18 - DESCARGA ; 520 - EST.ASSIST.NAVAL PORTO LISBOA ; Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13 ;211128595; navex-lisboa@navex.pt ; EADC ;4969;0; 99.8 ;7; ESSCT ; MURELOIL ;;101;1859;6920;18;0;1; C69 ; Mon Apr 30 00:00:00 GMT 2007 ;0
