Processo;Contramarca;Navio;IMO;ATD;ATA;Bandeira;Tipo Navio;Agente Navegacao;Porto Seguinte;Porto Procedente;Motivo Escala;Local Atribuido;Morada Agente;Telefone Agente;Email Agente;Indicativo Chamada;GT;TAL;Comprimento;Calado Maximo;Porto Registo;Armador;Nome Anterior;Tipo;TAB;DWT;Boca Sinal;Velocidade Maxima;Tipo Trafego;Certificado Verde;Data Construcao;Capacidade Teus
LIS201802519;""04012018002532"";AIDAMAR;9490052;2019-01-01 16:57;2018-12-31 12:09;Italia;CRUZEIROS;JAMES RAWES NAVEGACAO LDA;CARTAGENA;CADIZ;33 - TURISMO;245 - TERMINAL DE CRUZEIROS DE LISBOA;Av. 24 de Julho, 126 1º Esq;213470231;operations@jamesrawes.pt;ICSJ;71304;0;253.22;7.3;ITGOA;COSTA CRUISES;;361;0;7757;32.2;0;1;CA;Sun Jan 01 00:00:00 GMT 2012;0
LIS201802486;""04012018002499"";SAGA PEARL II;8000214;2019-01-01 17:52;2018-12-31 22:50;Malta;CRUZEIROS;JAMES RAWES NAVEGACAO LDA;PORTSMOUTH;FUNCHAL;33 - TURISMO;245 - TERMINAL DE CRUZEIROS DE LISBOA;Av. 24 de Julho, 126 1º Esq;213470231;operations@jamesrawes.pt;9HA2950;18627;0;164.35;6.3;MTMLA;SAGA CRUISES;;361;6267;3245;22.61;18;1;CA;Thu Jan 01 00:00:00 GMT 1981;0
LIS201802531;""04012018002544"";COLUMBUS;8611398;2019-01-02 15:31;2019-01-02 07:04;Bahamas, Ilhas;CRUZEIROS;JAMES RAWES NAVEGACAO LDA;TILBURY;FUNCHAL;33 - TURISMO;245 - TERMINAL DE CRUZEIROS DE LISBOA;Av. 24 de Julho, 126 1º Esq;213470231;operations@jamesrawes.pt;C6CP4;63786;0;245.6;8.1;BSNAS;CRUISE MARITIME VOYAGES;;361;0;7505;32.2;21;1;CA;Wed Mar 15 00:00:00 GMT 1989;0
LIS201802522;""04012018002535"";DUESSELDORF EXPRESS;9143556;2019-01-02 20:00;2019-01-02 04:04;Bermudas;Porta-contentores;HAPAG-LLOYD PORTUGAL, LDA;TANGER MED;CAUCEDO;14 - CARGA/DESCARGA;110 - TERM CONTENT ALCANTARA /  LISCONT;Av. D. João II, Nº 44C, Piso 2, sala 2.4 Edifício Atlantis – Parque das Nações;0049403001-0;info.de@hlag.com;DGDD;53523;0;293;11.65;BMBDA;HAPAG-LLOYD;;310;0;66525;32;0;1;CS;undefined;0
LIS201802532;""04012018002545"";JULIUS-S;9294018;2019-01-02 20:33;2018-12-31 06:10;Antigua e Barbuda;Porta-contentores;OCIDENAVE-NAVEGACAO LDA;HALIFAX, NS;VALENCIA;14 - CARGA/DESCARGA;265 - TERM CONTENT STª APOLONIA/SOTAGUS;Estrada Manuel Correia Lopes nº 682;00351213461291;ops.lis@ocidenave.com;V2GN4;25672;0;207.39;9;AGSJO;Julius-S GmbH & Co KG;;310;12591;33742;29.8;0;1;CS;Mon Nov 29 00:00:00 GMT 2004;2478
LIS201802436;""04012018002449"";TRANSCENDEN TIME;9437505;2019-01-02 21:38;2018-12-14 05:32;Singapura;Graneleiro;OCIDENAVE-NAVEGACAO LDA;PORTO DESCONHECIDO;PORT ALLEN, LA;18 - DESCARGA;305 - TERM GRANEIS SILOPOR/BEATO;Estrada Manuel Correia Lopes nº 682;00351213461291;ops.lis@ocidenave.com;9V8748	;20924;0;179.9;9.5;SGSIN;COSCO BULK CARRIERS;;202;0;32688;28.4;0;1;CA;Tue Oct 12 00:00:00 GMT 2010;0
LIS201802559;""04012018002572"";MARGARETHA;9240548;2019-01-02 22:19;2019-01-02 08:33;Antigua e Barbuda;Carga Geral multi deck;NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA;HOUSTON, TX;BILBAO;1 - ABASTECIMENTO DE COMBUSTIVEL;805_FUNDEADOURO QUADRO CENTRAL;Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13;211128595;navex-lisboa@navex.pt;V2GH4;7752;0;145.63;7.3;AGSJO;RUDOLF SCHEPERS REEDEREI;;336;0;10526;18.29;0;1;CS;undefined;0
LIS201802558;""04012018002571"";PASSAT;9326964;2019-01-02 23:02;2019-01-01 14:45;Portugal;Porta-contentores;NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA;LEIXOES;PONTA DELGADA;18 - DESCARGA;264 - TERMINAL MULTIPURPOSE DE LISBOA;Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13;211128595;navex-lisboa@navex.pt;V2GJ8;9990;0;134.44;7.3;PTM6E;TRANSINSULAR - TRANSPORTES MARITIMOS INSULARES , S A;;310;0;13963;22.5;0;1;CA;Sat Jan 01 00:00:00 GMT 2005;0
LIS201802534;""04012018002547"";PANTONIO;9440576;2019-01-02 23:09;2018-12-30 06:33;Portugal;Porta-contentores;PMAR - Navegação Lda.;CANIÇAL;CANIÇAL;14 - CARGA/DESCARGA;264 - TERMINAL MULTIPURPOSE DE LISBOA;Rua Tomas Ribeiro 412, 1º;291 210 365;lsousa@pmar.pt;CQEC7;7545;0;129.66;6;PTM6E;GS Lines – Transportes Marítimos LDA;;310;0;8153;20.6;0;1;CA;Mon Jan 01 00:00:00 GMT 2007;0
LIS201802520;""04012018002533"";ANZORAS;9397664;2019-01-03 00:38;2018-12-29 14:30;Espanha;Carga Geral single deck;NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA;Arinaga ;KIEL;18 - DESCARGA;300 - CAIS DO POÇO DO BISPO / TMPB;Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13;211128595;navex-lisboa@navex.pt;EAZC;3995;0;99.9;6.3;ESSCT;MURUETA ATLANTICO ALCUDIA;;335;0;5750;15.6;0;1;CA;Fri Dec 19 00:00:00 GMT 2008;0
LIS201802543;""04012018002556"";ARTIC DISCOVERER;9276389;2019-01-03 00:58;2019-01-02 12:21;Bahamas, Ilhas;Tanque Gás Liquefeito;NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA;ALIAGA;HAMMERFEST;1 - ABASTECIMENTO DE COMBUSTIVEL;805_FUNDEADOURO QUADRO CENTRAL;Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13;211128595;navex-lisboa@navex.pt;C6UV5;118571;0;289.5;11.3;BSNAS;Kawasaki Kisen Kaisha, Ltd.;;103;0;75485;48.498;0;1;CS;undefined;0
LIS201802449;""04012018002462"";PHOENIX J;9504047;2019-01-03 01:31;2018-12-30 14:53;Antigua e Barbuda;Porta-contentores;ONE SHIPPING, LDA;LONDON GATEWAY PORT;LEIXOES;14 - CARGA/DESCARGA;265 - TERM CONTENT STª APOLONIA/SOTAGUS;Estrada Manuel Correia Lopes 682;351 931121675;bruno.oliveira@one-line.com;V2FE2;10585;0;151.72;8;AGSJO;MS " PHOENIX J"  SHIPPING;;310;0;12883;23.4;0;1;C69;Tue Jan 01 00:00:00 GMT 2008;0
LIS201802529;""04012018002542"";RESTINGA;9384980;2019-01-03 01:43;2018-12-31 09:19;Ilhas Marshall;Graneleiro;WILHELMSEN SHIPS SERVICE PORTUGAL, S.A.;BARCELONA;NEW ORLEANS, LA;18 - DESCARGA;540 - TERM GRANEIS SOVENA/PALENÇA;R.FRADESSO DA SILVEIRA, 2 - 2ºA;213 210 900;wss.lisbon@wilhelmsen.com;V7DW5;43158;0;229;12.89;MHMAJ;Primavera Maritime Corporation;;202;0;82551;32.26;0;1;CS;undefined;0
LIS201802542;""04012018002555"";LOLA B;9353735;2019-01-03 01:54;2019-01-02 20:02;Malta;Porta-contentores;BOLUDA LINES PORTUGAL, Sociedade Unipessoal, Lda;SEVILLA;LAS PALMAS DE GRAND CANARIA;14 - CARGA/DESCARGA;110 - TERM CONTENT ALCANTARA /  LISCONT;Alameda dos Oceanos, 25 escritorio nº 6;927735062;tomas.freire@boluda.com.es;9HA3137;8971;0;154.85;5.5;MTMLA;MS MASTERY D SCHIFFAHRTS GmbH;;310;0;10750;21.5;18;1;CS;Thu Jan 01 00:00:00 GMT 2009;917
LIS201802553;""04012018002566"";USICHEM;9344344;2019-01-03 08:08;2019-01-02 04:55;Malta;Tanque Químico;OCIDENAVE-NAVEGACAO LDA;CASABLANCA;BILBAO;13 - CARGA;540 - TERM GRANEIS SOVENA/PALENÇA;Estrada Manuel Correia Lopes nº 682;00351213461291;ops.lis@ocidenave.com;9HHY8;4798;0;119.1;6;MTMLA;DENSA TANKER ISLETMECILIGI;;102;0;7125;16.9;0;1;C69;Fri Nov 18 00:00:00 GMT 2005;0
LIS201802515;""04012018002528"";POHORJE;9294824;2019-01-03 11:59;2019-01-02 05:46;Liberia;Porta-contentores;MARMEDSA - AGENCIA MARITIMA, LDA;ALGECIRAS;LE HAVRE;14 - CARGA/DESCARGA;110 - TERM CONTENT ALCANTARA /  LISCONT;Av. D. João II - nº. 51 – Piso 2 – Sala C Edificio Art’s – Parque das Nações;269869190;opsptlis@marmedsa.com;A8IM4;42382;0;267.7;9;LRMLW;GENSHIPPING CORPORATION ;;310;0;52683;32.2;0;1;CS;undefined;0
LIS201900003;""04012019000003"";FLEET LEADER;9220639;2019-01-03 16:46;2019-01-03 09:38;Liberia;Ro-Ro não discriminado;NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA;HULL;ORAN (WAHRAN);1 - ABASTECIMENTO DE COMBUSTIVEL;805_FUNDEADOURO QUADRO CENTRAL;Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13;211128595;navex-lisboa@navex.pt;A8WO4;8831;0;126.86;5.8;LRMLW;SILVERKNOT MANAGEMENT LTD;;333;0;7195;20.3;0;1;CS;undefined;0
LIS201802535;""04012018002548"";GUANARTEME;9280134;2019-01-03 17:52;2018-12-31 07:03;Espanha;Tanque não discriminado;NAVEX-EMP.PORTUGUESA  NAVEGACAO, SA;SINES;SINES;18 - DESCARGA;805_FUNDEADOURO QUADRO CENTRAL;Rua da Cintura do Porto de Lisboa,Galeria do Edifício Gonçalves Zarco nº13;211128595;navex-lisboa@navex.pt;ECFV;2815;0;96.61;6;ESSCT;DISTRIBUIDORA MARITIMA PETROGAS, S.L.U.;;105;0;4222;14.2;0;3;C69;Thu Jan 01 00:00:00 GMT 2004;0
